id,title,milestone,epic,priority,size,risk,tier,depends_on,issue_file
M4-039,建立 Cross-platform Clipboard Conformance Matrix,M4,E06,P1,M,high,B/H,"M4-013,M4-026,M4-033",issues/M4/M4-039-cross-platform-clipboard-matrix.md
M5-013,完成 Production Diagnostic Bundle／Support Workflow,M5,E16,P1,M,high,B/S/H,"M1-012,M4-015,M5-012",issues/M5/M5-013-production-diagnostics.md
M4-017,建立 Windows Installer／Dev Signing Pipeline,M4,E13,P1,M,high,C/S/H,M4-016,issues/M4/M4-017-windows-installer-dev.md
M5-010,實作 Launch-at-login／Autostart／Background Policy,M5,E15,P1,M,high,B/H,"M1-067,M4-016,M4-034",issues/M5/M5-010-autostart-policy.md
M4-032,實作凍結 Wayland Input Backend,M4,E14,P1,M,critical,C/S/H,"M4-029,M4-031",issues/M4/M4-032-wayland-input-backend.md
M5-014,執行 Privacy／Log Redaction Audit,M5,E16,P0,M,critical,C/S/H,"M5-013,M1-011",issues/M5/M5-014-privacy-audit.md
M4-018,執行 Windows First-party Client E2E,M4,E13,P0,M,critical,H,"M4-005,M4-006,M4-008,M4-009,M4-013,M4-014,M4-017",issues/M4/M4-018-windows-client-e2-e.md
M4-036,執行 Linux First-party Client E2E,M4,E14,P0,M,critical,H,"M4-022,M4-024,M4-026,M4-027,M4-032,M4-033,M4-035",issues/M4/M4-036-linux-client-e2-e.md
M4-019,執行 Windows First-party Server E2E,M4,E13,P0,M,critical,H,"M4-007,M4-010,M4-011,M4-012,M4-018",issues/M4/M4-019-windows-server-e2-e.md
M4-037,執行 Linux First-party Server E2E,M4,E14,P0,M,critical,H,"M4-023,M4-025,M4-032,M4-036",issues/M4/M4-037-linux-server-e2-e.md
M4-040,執行 3-OS Server／Client Compatibility Matrix,M4,E16,P0,M,critical,H,"M4-019,M4-037,M4-038,M4-039",issues/M4/M4-040-three-oscompatibility-matrix.md
M4-041,執行 Cross-platform Latency／Reconnect／24-hour Soak,M4,E16,P1,M,critical,H,M4-040,issues/M4/M4-041-cross-platform-soak.md
M4-042,完成 M4 Beta Exit Review,M4,E00,P0,M,critical,C/S/H,M4-041,issues/M4/M4-042-m4-exit-review.md
M5-023,建立 Performance／Latency／Resource Release Gate,M5,E16,P1,M,high,B/H,"M4-041,M5-016",issues/M5/M5-023-performance-gate.md
M5-001,凍結 LAN Discovery／Advertisement Specification,M5,E15,P1,M,critical,C/S,M4-042,issues/M5/M5-001-discovery-spec.md
M5-002,實作 macOS Discovery／Advertisement Backend,M5,E15,P1,M,high,B/H,M5-001,issues/M5/M5-002-mac-discovery.md
M5-003,實作 Windows／Linux Discovery Backends,M5,E15,P1,M,high,B/H,"M5-001,M4-004,M4-020",issues/M5/M5-003-cross-platform-discovery.md
M5-004,實作 Discovery Dedupe／Name Conflict／Stale Entry Handling,M5,E15,P1,S,high,B,"M5-002,M5-003,M3-011",issues/M5/M5-004-discovery-registry.md
M5-005,實作 Pairing UX／Short-code Verification,M5,E15,P1,M,critical,C/S/H,"M3-012,M3-028,M5-004",issues/M5/M5-005-pairing-ux.md
M5-006,實作 Trusted Device Management／Revoke／Re-pair,M5,E15,P1,M,critical,C/S/H,"M3-014,M5-005",issues/M5/M5-006-trusted-device-manager.md
M5-007,實作 Device Manager Domain／Persistence,M5,E15,P1,S,high,B,"M5-004,M5-006",issues/M5/M5-007-device-manager.md
M5-015,執行 Security Review／Abuse Boundary／Remediation,M5,E16,P0,M,critical,C/S/H,"M3-002,M4-030,M5-005,M5-006,M5-014",issues/M5/M5-015-security-review.md
M5-008,實作 Screen Layout Editor／Validation,M5,E15,P1,M,critical,B/H,"M2-016,M5-007",issues/M5/M5-008-screen-layout-editor.md
M5-011,實作 Auto-connect／Preferred Server Policy,M5,E15,P1,M,high,B/S,"M5-006,M5-007,M5-010",issues/M5/M5-011-auto-connect-policy.md
M5-017,建立 macOS Developer ID／Hardened Runtime／Notarization Pipeline,M5,E16,P1,M,critical,C/S/H,"M5-015,M5-016",issues/M5/M5-017-mac-production-release.md
M5-018,建立 Windows Production Signing／Installer Pipeline,M5,E16,P1,M,critical,C/S/H,"M4-017,M5-015,M5-016",issues/M5/M5-018-windows-production-release.md
M5-019,建立 Linux Production Packages／Repository Metadata,M5,E16,P1,M,high,C/S/H,"M4-035,M5-015,M5-016",issues/M5/M5-019-linux-production-release.md
M5-009,實作 Multi-monitor Layout／Hot-plug Reconciliation,M5,E15,P1,M,critical,C/H,"M2-015,M4-014,M4-027,M5-008",issues/M5/M5-009-multi-monitor-reconciler.md
M5-020,凍結 Signed Update Manifest／Channel／Rollback Specification,M5,E16,P0,M,critical,C/S/H,"M5-015,M5-017,M5-018,M5-019",issues/M5/M5-020-update-specification.md
M5-026,撰寫 Barrier Migration／Rollback Guide,M5,E16,P1,M,medium,A/H,"M5-006,M5-011,M5-017,M5-018,M5-019",issues/M5/M5-026-barrier-migration-guide.md
M5-021,實作三平台 Update Verification／Staged Rollout,M5,E16,P1,M,critical,C/S/H,M5-020,issues/M5/M5-021-cross-platform-updater.md
M5-022,實作 Update Rollback／Recovery Tests,M5,E16,P1,M,critical,C/S/H,M5-021,issues/M5/M5-022-update-rollback.md
M5-024,執行 Sleep／Wake／Network／Crash Fault Matrix,M5,E16,P0,M,critical,H,"M5-016,M5-021,M5-023",issues/M5/M5-024-production-fault-matrix.md
M5-025,執行 72-hour Multi-device／Multi-monitor Soak,M5,E16,P0,M,critical,H,"M5-009,M5-024",issues/M5/M5-025-production-soak.md
M5-027,完成 Release Candidate Checklist／Evidence Index,M5,E16,P0,M,critical,C/S/H,"M5-022,M5-025,M5-026",issues/M5/M5-027-release-candidate-checklist.md
M5-028,完成 1.0 Release Gate：確認真正取代 Barrier,M5,E00,P0,M,critical,C/S/H,M5-027,issues/M5/M5-028-release10-gate.md
